specimen	group	lane	smrtcell
HG002	HPRC	placeholder_for_HPRC_revio_data	m84039_230117_233243_s1.hifi_reads.default
894	sudmant	PBmixRevio1412_1_D01_PEWA_24hours_19kbExpressCCSv3190pM2hrPE_200pM_HumanSudmant1894_CCSExpressIndex	m84053_230601_202536_s4.hifi_reads.bc2050
894	sudmant	PBmixRevio1417_1_D01_PFBE_24hours_22kbExpressCCSv32hrPE_200pM_HumanSudmant1894_CCSExpressIndex	m84053_230629_234400_s4.hifi_reads.bc2068
895	sudmant	PBmixRevio1417_2_A01_PFBF_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant2895_CCSExpressIndex	m84053_230630_222948_s1.hifi_reads.bc2069
895	sudmant	PBmixRevio1417_2_B01_PFBF_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant2895_CCSExpressIndex	m84053_230630_230054_s2.hifi_reads.bc2069
898	sudmant	PBmixRevio1429_1_C01_PFCR_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant3898_CCSExpressIndex	m84053_230801_204324_s3.hifi_reads.bc2089
898	sudmant	PBmixRevio1417_2_C01_PFBG_24hours_23kbExpressCCSv32hrPE_200pM_HumanSudmant3898_CCSExpressIndex	m84053_230630_233200_s3.hifi_reads.bc2070
901	sudmant	PBmixRevio1419_2_A01_PFBH_24hours_21kb200pmCCSv32hrPreExtbc2071_200pM_HumanSudmant6901_CCSExpressIndex	m84053_230703_161700_s1.hifi_reads.bc2071
901	sudmant	PBmixRevio1419_2_B01_PFBH_24hours_21kb200pmCCSv32hrPreExtbc2071_200pM_HumanSudmant6901_CCSExpressIndex	m84053_230703_164807_s2.hifi_reads.bc2071
899	sudmant	PBmixRevio1443_2_A01_PFIB_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant7899_bc2019_CCSExpressIndex	m84053_230908_185731_s4.hifi_reads.bc2019
900	sudmant	PBmixRevio1443_2_B01_PFIC_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant8900_bc2020_CCSExpressIndex	m84053_230908_192836_s1.hifi_reads.bc2020
5619	sudmant	PBmixRevio1443_2_C01_PFID_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant95619_bc2021_CCSExpressIndex	m84053_230908_195942_s2.hifi_reads.bc2021
5621	sudmant	PBmixRevio1443_2_D01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230908_203048_s3.hifi_reads.bc2022
899	sudmant	PBmixRevio1444_1_A01_PFIB_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant7899_bc2019_CCSExpressIndex	m84053_230911_203330_s4.hifi_reads.bc2019
900	sudmant	PBmixRevio1444_1_B01_PFIC_24hours_18kbExpressCCSv32hrPE_200pM_HumanSudmant8900_bc2020_CCSExpressIndex	m84053_230911_210354_s1.hifi_reads.bc2020
5619	sudmant	PBmixRevio1444_1_C01_PFID_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant95619_bc2021_CCSExpressIndex	m84053_230911_213500_s2.hifi_reads.bc2021
5621	sudmant	PBmixRevio1444_1_D01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230911_220606_s3.hifi_reads.bc2022
5980	sudmant	PBmixRevio1445_1_D01_PFIF_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant115980_bc2023_CCSExpressIndex	m84139_230913_161502_s4.hifi_reads.bc2023
5621	sudmant	PBmixRevio1450_1_A01_PFIE_24hours_21kbExpressCCSv32hrPE_200pM_HumanSudmant105621_bc2022_CCSExpressIndex	m84053_230919_195135_s1.hifi_reads.bc2022
5980	sudmant	PBmixRevio1450_1_B01_PFIF_24hours_20kbExpressCCSv32hrPE_200pM_HumanSudmant115980_bc2023_CCSExpressIndex	m84053_230919_202201_s2.hifi_reads.bc2023
