genomeName	stat	v1	v2	type
PR01227	LGx	58	25	hap1
PR01227	LGx	59	26	hap1
PR01227	LGx	60	26	hap1
PR01227	LGx	61	27	hap1
PR01227	LGx	62	28	hap1
PR01227	LGx	63	29	hap1
PR01227	LGx	64	30	hap1
PR01227	LGx	65	31	hap1
PR01227	LGx	66	32	hap1
PR01227	LGx	67	33	hap1
PR01227	LGx	68	34	hap1
PR01227	LGx	69	36	hap1
PR01227	LGx	70	37	hap1
PR01227	LGx	71	38	hap1
PR01227	LGx	72	40	hap1
PR01227	LGx	73	41	hap1
PR01227	LGx	74	43	hap1
PR01227	LGx	75	44	hap1
PR01227	LGx	76	46	hap1
PR01227	LGx	77	48	hap1
PR01227	LGx	78	50	hap1
PR01227	LGx	79	52	hap1
PR01227	LGx	80	55	hap1
PR01227	LGx	81	58	hap1
PR01227	LGx	82	60	hap1
PR01227	LGx	83	63	hap1
PR01227	LGx	84	67	hap1
PR01227	LGx	85	70	hap1
PR01227	LGx	86	74	hap1
PR01227	LGx	87	79	hap1
PR01227	LGx	88	85	hap1
PR01227	LGx	89	91	hap1
PR01227	LGx	90	98	hap1
PR01227	LGx	91	106	hap1
PR01227	LGx	92	115	hap1
PR01227	LGx	93	126	hap1
PR01227	LGx	94	139	hap1
PR01227	LGx	95	157	hap1
PR01227	LGx	96	180	hap1
PR01227	LGx	97	210	hap1
PR01227	LGx	98	271	hap1
PR01227	LGx	99	670	hap1
PR01227	LGx	100	670	hap1
PR01227	auN	3125594602	352.85294	hap2
PR01227	auNG	3018593705	365.3606	hap2
PR01227	Nx	1	210544002	hap2
PR01227	Nx	2	210544002	hap2
PR01227	Nx	3	210544002	hap2
PR01227	Nx	4	210544002	hap2
PR01227	Nx	5	210544002	hap2
PR01227	Nx	6	210544002	hap2
PR01227	Nx	7	191644516	hap2
PR01227	Nx	8	191644516	hap2
PR01227	Nx	9	191644516	hap2
PR01227	Nx	10	191644516	hap2
PR01227	Nx	11	191644516	hap2
PR01227	Nx	12	191644516	hap2
PR01227	Nx	13	124074563	hap2
PR01227	Nx	14	124074563	hap2
PR01227	Nx	15	124074563	hap2
PR01227	Nx	16	124074563	hap2
PR01227	Nx	17	111935090	hap2
PR01227	Nx	18	111935090	hap2
PR01227	Nx	19	111935090	hap2
PR01227	Nx	20	111935090	hap2
PR01227	Nx	21	110900415	hap2
PR01227	Nx	22	110900415	hap2
PR01227	Nx	23	110900415	hap2
PR01227	Nx	24	106920619	hap2
PR01227	Nx	25	106920619	hap2
PR01227	Nx	26	106920619	hap2
PR01227	Nx	27	106920619	hap2
PR01227	Nx	28	98809936	hap2
PR01227	Nx	29	98809936	hap2
PR01227	Nx	30	98809936	hap2
PR01227	Nx	31	96947681	hap2
PR01227	Nx	32	96947681	hap2
PR01227	Nx	33	96947681	hap2
PR01227	Nx	34	93950419	hap2
PR01227	Nx	35	93950419	hap2
PR01227	Nx	36	93950419	hap2
PR01227	Nx	37	78183186	hap2
PR01227	Nx	38	78183186	hap2
PR01227	Nx	39	78183186	hap2
PR01227	Nx	40	76149146	hap2
PR01227	Nx	41	76149146	hap2
PR01227	Nx	42	75763620	hap2
PR01227	Nx	43	75763620	hap2
PR01227	Nx	44	75763620	hap2
PR01227	Nx	45	68228012	hap2
PR01227	Nx	46	68228012	hap2
PR01227	Nx	47	60376644	hap2
PR01227	Nx	48	60376644	hap2
PR01227	Nx	49	59838634	hap2
PR01227	Nx	50	59838634	hap2
PR01227	Nx	51	57548616	hap2
PR01227	Nx	52	54360536	hap2
PR01227	Nx	53	54360536	hap2
PR01227	Nx	54	53943289	hap2
PR01227	Nx	55	53943289	hap2
PR01227	Nx	56	43756873	hap2
PR01227	Nx	57	42903804	hap2
PR01227	Nx	58	42903804	hap2
PR01227	Nx	59	42210743	hap2
PR01227	Nx	60	41096743	hap2
PR01227	Nx	61	39375017	hap2
PR01227	Nx	62	39375017	hap2
PR01227	Nx	63	37472214	hap2
PR01227	Nx	64	36956557	hap2
PR01227	Nx	65	35645046	hap2
PR01227	Nx	66	34440608	hap2
PR01227	Nx	67	31306360	hap2
PR01227	Nx	68	30089679	hap2
PR01227	Nx	69	29432757	hap2
PR01227	Nx	70	29381606	hap2
PR01227	Nx	71	28907569	hap2
PR01227	Nx	72	27827802	hap2
PR01227	Nx	73	21415499	hap2
PR01227	Nx	74	19878700	hap2
PR01227	Nx	75	19687583	hap2
PR01227	Nx	76	19438594	hap2
PR01227	Nx	77	17558018	hap2
PR01227	Nx	78	17287150	hap2
PR01227	Nx	79	14640416	hap2
PR01227	Nx	80	13947604	hap2
PR01227	Nx	81	12325803	hap2
PR01227	Nx	82	11328208	hap2
PR01227	Nx	83	10515158	hap2
PR01227	Nx	84	9511254	hap2
PR01227	Nx	85	8319090	hap2
PR01227	Nx	86	7767075	hap2
PR01227	Nx	87	6642819	hap2
PR01227	Nx	88	6159885	hap2
PR01227	Nx	89	5403601	hap2
PR01227	Nx	90	4904846	hap2
PR01227	Nx	91	4205430	hap2
PR01227	Nx	92	3600624	hap2
PR01227	Nx	93	3105453	hap2
PR01227	Nx	94	2716416	hap2
PR01227	Nx	95	2355422	hap2
PR01227	Nx	96	1762643	hap2
PR01227	Nx	97	1354192	hap2
PR01227	Nx	98	878783	hap2
PR01227	Nx	99	383544	hap2
PR01227	Nx	100	11426	hap2
PR01227	Lx	1	210544002	hap2
PR01227	Lx	2	210544002	hap2
PR01227	Lx	3	210544002	hap2
PR01227	Lx	4	210544002	hap2
PR01227	Lx	5	210544002	hap2
PR01227	Lx	6	210544002	hap2
PR01227	Lx	7	191644516	hap2
PR01227	Lx	8	191644516	hap2
PR01227	Lx	9	191644516	hap2
PR01227	Lx	10	191644516	hap2
PR01227	Lx	11	191644516	hap2
PR01227	Lx	12	191644516	hap2
PR01227	Lx	13	124074563	hap2
PR01227	Lx	14	124074563	hap2
PR01227	Lx	15	124074563	hap2
PR01227	Lx	16	124074563	hap2
PR01227	Lx	17	111935090	hap2
PR01227	Lx	18	111935090	hap2
PR01227	Lx	19	111935090	hap2
PR01227	Lx	20	111935090	hap2
PR01227	Lx	21	110900415	hap2
PR01227	Lx	22	110900415	hap2
PR01227	Lx	23	110900415	hap2
PR01227	Lx	24	106920619	hap2
PR01227	Lx	25	106920619	hap2
PR01227	Lx	26	106920619	hap2
PR01227	Lx	27	106920619	hap2
PR01227	Lx	28	98809936	hap2
PR01227	Lx	29	98809936	hap2
PR01227	Lx	30	98809936	hap2
PR01227	Lx	31	96947681	hap2
PR01227	Lx	32	96947681	hap2
PR01227	Lx	33	96947681	hap2
PR01227	Lx	34	93950419	hap2
PR01227	Lx	35	93950419	hap2
PR01227	Lx	36	93950419	hap2
PR01227	Lx	37	78183186	hap2
PR01227	Lx	38	78183186	hap2
PR01227	Lx	39	78183186	hap2
PR01227	Lx	40	76149146	hap2
PR01227	Lx	41	76149146	hap2
PR01227	Lx	42	75763620	hap2
PR01227	Lx	43	75763620	hap2
PR01227	Lx	44	75763620	hap2
PR01227	Lx	45	68228012	hap2
PR01227	Lx	46	68228012	hap2
PR01227	Lx	47	60376644	hap2
PR01227	Lx	48	60376644	hap2
PR01227	Lx	49	59838634	hap2
PR01227	Lx	50	59838634	hap2
PR01227	Lx	51	57548616	hap2
PR01227	Lx	52	54360536	hap2
PR01227	Lx	53	54360536	hap2
PR01227	Lx	54	53943289	hap2
PR01227	Lx	55	53943289	hap2
PR01227	Lx	56	43756873	hap2
PR01227	Lx	57	42903804	hap2
PR01227	Lx	58	42903804	hap2
PR01227	Lx	59	42210743	hap2
PR01227	Lx	60	41096743	hap2
PR01227	Lx	61	39375017	hap2
PR01227	Lx	62	39375017	hap2
PR01227	Lx	63	37472214	hap2
PR01227	Lx	64	36956557	hap2
PR01227	Lx	65	35645046	hap2
PR01227	Lx	66	34440608	hap2
PR01227	Lx	67	31306360	hap2
PR01227	Lx	68	30089679	hap2
PR01227	Lx	69	29432757	hap2
PR01227	Lx	70	29381606	hap2
PR01227	Lx	71	28907569	hap2
PR01227	Lx	72	27827802	hap2
PR01227	Lx	73	21415499	hap2
PR01227	Lx	74	19878700	hap2
PR01227	Lx	75	19687583	hap2
PR01227	Lx	76	19438594	hap2
PR01227	Lx	77	17558018	hap2
PR01227	Lx	78	17287150	hap2
PR01227	Lx	79	14640416	hap2
PR01227	Lx	80	13947604	hap2
PR01227	Lx	81	12325803	hap2
PR01227	Lx	82	11328208	hap2
PR01227	Lx	83	10515158	hap2
PR01227	Lx	84	9511254	hap2
PR01227	Lx	85	8319090	hap2
PR01227	Lx	86	7767075	hap2
PR01227	Lx	87	6642819	hap2
PR01227	Lx	88	6159885	hap2
PR01227	Lx	89	5403601	hap2
PR01227	Lx	90	4904846	hap2
PR01227	Lx	91	4205430	hap2
PR01227	Lx	92	3600624	hap2
PR01227	Lx	93	3105453	hap2
PR01227	Lx	94	2716416	hap2
PR01227	Lx	95	2355422	hap2
PR01227	Lx	96	1762643	hap2
PR01227	Lx	97	1354192	hap2
PR01227	Lx	98	878783	hap2
PR01227	Lx	99	383544	hap2
PR01227	Lx	100	11426	hap2
PR01227	NGx	1	210544002	hap2
PR01227	NGx	2	210544002	hap2
PR01227	NGx	3	210544002	hap2
PR01227	NGx	4	210544002	hap2
PR01227	NGx	5	210544002	hap2
PR01227	NGx	6	210544002	hap2
PR01227	NGx	7	191644516	hap2
PR01227	NGx	8	191644516	hap2
PR01227	NGx	9	191644516	hap2
PR01227	NGx	10	191644516	hap2
PR01227	NGx	11	191644516	hap2
PR01227	NGx	12	191644516	hap2
PR01227	NGx	13	191644516	hap2
PR01227	NGx	14	124074563	hap2
PR01227	NGx	15	124074563	hap2
PR01227	NGx	16	124074563	hap2
PR01227	NGx	17	124074563	hap2
PR01227	NGx	18	111935090	hap2
PR01227	NGx	19	111935090	hap2
PR01227	NGx	20	111935090	hap2
PR01227	NGx	21	111935090	hap2
PR01227	NGx	22	110900415	hap2
PR01227	NGx	23	110900415	hap2
PR01227	NGx	24	110900415	hap2
PR01227	NGx	25	106920619	hap2
PR01227	NGx	26	106920619	hap2
PR01227	NGx	27	106920619	hap2
PR01227	NGx	28	106920619	hap2
PR01227	NGx	29	98809936	hap2
PR01227	NGx	30	98809936	hap2
PR01227	NGx	31	98809936	hap2
PR01227	NGx	32	96947681	hap2
PR01227	NGx	33	96947681	hap2
PR01227	NGx	34	96947681	hap2
PR01227	NGx	35	93950419	hap2
PR01227	NGx	36	93950419	hap2
PR01227	NGx	37	93950419	hap2
PR01227	NGx	38	78183186	hap2
PR01227	NGx	39	78183186	hap2
PR01227	NGx	40	78183186	hap2
PR01227	NGx	41	76149146	hap2
PR01227	NGx	42	76149146	hap2
PR01227	NGx	43	76149146	hap2
PR01227	NGx	44	75763620	hap2
PR01227	NGx	45	75763620	hap2
PR01227	NGx	46	68228012	hap2
PR01227	NGx	47	68228012	hap2
PR01227	NGx	48	60376644	hap2
PR01227	NGx	49	60376644	hap2
PR01227	NGx	50	59838634	hap2
PR01227	NGx	51	59838634	hap2
PR01227	NGx	52	57548616	hap2
PR01227	NGx	53	57548616	hap2
PR01227	NGx	54	54360536	hap2
PR01227	NGx	55	54360536	hap2
PR01227	NGx	56	53943289	hap2
PR01227	NGx	57	53943289	hap2
PR01227	NGx	58	43756873	hap2
PR01227	NGx	59	42903804	hap2
PR01227	NGx	60	42903804	hap2
PR01227	NGx	61	42210743	hap2
PR01227	NGx	62	41096743	hap2
PR01227	NGx	63	39375017	hap2
PR01227	NGx	64	39375017	hap2
PR01227	NGx	65	37472214	hap2
PR01227	NGx	66	36956557	hap2
PR01227	NGx	67	35645046	hap2
PR01227	NGx	68	34440608	hap2
PR01227	NGx	69	34440608	hap2
PR01227	NGx	70	31306360	hap2
PR01227	NGx	71	30089679	hap2
PR01227	NGx	72	29432757	hap2
PR01227	NGx	73	29381606	hap2
PR01227	NGx	74	27827802	hap2
PR01227	NGx	75	21415499	hap2
PR01227	NGx	76	20685088	hap2
PR01227	NGx	77	19854953	hap2
PR01227	NGx	78	19687583	hap2
PR01227	NGx	79	18772303	hap2
PR01227	NGx	80	17558018	hap2
PR01227	NGx	81	17287150	hap2
PR01227	NGx	82	14640416	hap2
PR01227	NGx	83	13947604	hap2
PR01227	NGx	84	12325803	hap2
PR01227	NGx	85	11328208	hap2
PR01227	NGx	86	10515158	hap2
PR01227	NGx	87	9511254	hap2
PR01227	NGx	88	8319090	hap2
PR01227	NGx	89	7767075	hap2
PR01227	NGx	90	6676670	hap2
PR01227	NGx	91	6343796	hap2
PR01227	NGx	92	5471887	hap2
PR01227	NGx	93	5029649	hap2
PR01227	NGx	94	4344181	hap2
PR01227	NGx	95	3666697	hap2
PR01227	NGx	96	3342120	hap2
PR01227	NGx	97	2830231	hap2
PR01227	NGx	98	2486489	hap2
PR01227	NGx	99	2038858	hap2
PR01227	NGx	100	1542140	hap2
PR01227	LGx	1	1	hap2
PR01227	LGx	2	1	hap2
PR01227	LGx	3	1	hap2
PR01227	LGx	4	1	hap2
PR01227	LGx	5	1	hap2
PR01227	LGx	6	1	hap2
PR01227	LGx	7	2	hap2
PR01227	LGx	8	2	hap2
PR01227	LGx	9	2	hap2
PR01227	LGx	10	2	hap2
PR01227	LGx	11	2	hap2
PR01227	LGx	12	2	hap2
PR01227	LGx	13	2	hap2
PR01227	LGx	14	3	hap2
PR01227	LGx	15	3	hap2
PR01227	LGx	16	3	hap2
PR01227	LGx	17	3	hap2
PR01227	LGx	18	4	hap2
PR01227	LGx	19	4	hap2
PR01227	LGx	20	4	hap2
PR01227	LGx	21	4	hap2
PR01227	LGx	22	5	hap2
PR01227	LGx	23	5	hap2
PR01227	LGx	24	5	hap2
PR01227	LGx	25	6	hap2
PR01227	LGx	26	6	hap2
PR01227	LGx	27	6	hap2
PR01227	LGx	28	6	hap2
PR01227	LGx	29	7	hap2
PR01227	LGx	30	7	hap2
PR01227	LGx	31	7	hap2
PR01227	LGx	32	8	hap2
PR01227	LGx	33	8	hap2
PR01227	LGx	34	8	hap2
PR01227	LGx	35	9	hap2
PR01227	LGx	36	9	hap2
PR01227	LGx	37	9	hap2
PR01227	LGx	38	10	hap2
PR01227	LGx	39	10	hap2
PR01227	LGx	40	10	hap2
PR01227	LGx	41	11	hap2
PR01227	LGx	42	11	hap2
PR01227	LGx	43	11	hap2
PR01227	LGx	44	12	hap2
PR01227	LGx	45	12	hap2
PR01227	LGx	46	13	hap2
